order_id,customer_id,order_date,product_category,quantity,unit_price_usd,order_status,payment_method
AMA-O6549,AMA-C9966,2023-05-04,Sports & Outdoors,1,71.03,Delivered,Gift Card
AMA-O7537,AMA-C8888,13-Jun-2025,Home & Kitchen,1,49.8,,Credit Card
AMA-O5222,AMA-C9966,2023-10-25,Grocery,5,10.07,Pending,Debit Card
AMA-O11201,AMA-C8044,07/19/2023,Electronics,5,687.52,Delivered,Credit Card
AMA-O8114,AMA-C7283,12/21/2023,Toys,2,92.63,Shipped,Amazon Pay
AMA-O12407,AMA-C8982,2023-12-27,Toys,2,94.0,Returned,Debit Card
AMA-O11445,AMA-C3013,2024-04-24,Electronics,3,431.21,Pending,Gift Card
AMA-O14237,AMA-C3948,12-Jul-2023,Beauty,1,20.7,Pending,Debit Card
AMA-O10564,AMA-C4040,03/10/2025,Home & Kitchen,4,$168.30,Cancelled,Amazon Pay
AMA-O7022,AMA-C7179,2025-07-30,Sports & Outdoors,4,$28.34,Shipped,Amazon Pay
AMA-O14837,AMA-C6762,22-Nov-2024,Toys,1,35.41,Pending,UPI
AMA-O14836,AMA-C6225,02-Dec-2024,Sports & Outdoors,2,20.4,Delivered,Credit Card
AMA-O13046,AMA-C10680,24-May-2024,Toys,1,51.66,Shipped,Debit Card
AMA-O14222,AMA-C2766,24-May-2023,Electronics,3,716.05,Cancelled,Gift Card
AMA-O13270,AMA-C9837,2023-01-30,Toys,5,9.61,Returned,UPI
AMA-O6866,AMA-C2976,12/14/2023,Grocery,4,16.74,Returned,Gift Card
AMA-O5503,AMA-C7072,2024-11-13,Sports & Outdoors,4,$56.99,Pending,Debit Card
AMA-O13492,AMA-C9282,01/19/2023,Home & Kitchen,5,32.82,Delivered,Debit Card
AMA-O10283,AMA-C9621,25-Dec-2023,Beauty,4,9.01,Delivered,UPI
AMA-O9940,AMA-C4641,2023-06-23,Books,2,$8.84,Delivered,Gift Card
AMA-O13249,AMA-C3090,2025-12-03,Home & Kitchen,1,228.26,Delivered,UPI
AMA-O6411,AMA-C10874,05/02/2023,Apparel,4,9.9,Shipped,Credit Card
AMA-O6752,AMA-C8393,12/12/2024,Beauty,2,20.53,Shipped,Credit Card
AMA-O11051,AMA-C1414,24-Apr-2025,Books,4,30.24,Delivered,Credit Card
AMA-O14879,AMA-C9076,01-Feb-2024,Toys,4,5.78,Pending,Gift Card
AMA-O12620,AMA-C10049,2023-12-12,Sports & Outdoors,3,93.1,Shipped,UPI
AMA-O7549,AMA-C6219,2023-01-25,Apparel,5,$71.25,Delivered,Gift Card
AMA-O12007,AMA-C7912,04/05/2025,Sports & Outdoors,4,56.07,Delivered,Credit Card
AMA-O5190,AMA-C10581,2024-07-30,Toys,2,$82.24,Returned,UPI
AMA-O7898,AMA-C9155,18-Sep-2025,Books,1,37.61,Delivered,Amazon Pay
AMA-O14370,AMA-C5571,2025-03-07,Sports & Outdoors,3,$154.79,Pending,Gift Card
AMA-O5515,AMA-C6720,04-Nov-2025,Beauty,3,66.97,Delivered,Amazon Pay
AMA-O13714,AMA-C3654,2023-04-21,Sports & Outdoors,1,216.69,Returned,Gift Card
AMA-O7071,AMA-C6769,18-Feb-2025,Grocery,4,27.41,Cancelled,Amazon Pay
AMA-O13171,AMA-C2581,01/01/2024,Home & Kitchen,1,248.38,Returned,Gift Card
AMA-O10489,AMA-C5470,04/09/2025,Grocery,5,58.71,Returned,Debit Card
AMA-O5717,AMA-C1896,2024-03-24,Electronics,1,743.96,Returned,Gift Card
AMA-O11312,AMA-C7260,03/18/2023,Sports & Outdoors,4,224.09,Cancelled,Amazon Pay
AMA-O11761,AMA-C4601,21-May-2023,Sports & Outdoors,2,221.21,Cancelled,Credit Card
AMA-O12218,AMA-C1069,03/11/2023,Books,4,16.99,Pending,Debit Card
AMA-O5467,AMA-C5812,07-Sep-2024,Grocery,5,56.5,Cancelled,Gift Card
AMA-O5127,AMA-C2057,2023-09-15,Books,3,18.34,Cancelled,Gift Card
AMA-O10084,AMA-C1054,17-Jun-2023,Grocery,2,54.76,Cancelled,UPI
AMA-O14668,AMA-C2777,2024-11-15,Home & Kitchen,5,161.17,Shipped,Amazon Pay
AMA-O10163,AMA-C3295,07/20/2025,Books,2,35.34,Delivered,UPI
AMA-O5224,AMA-C2428,11/17/2023,Home & Kitchen,5,86.98,Delivered,Credit Card
AMA-O9910,AMA-C9550,10-Jul-2025,Apparel,4,90.97,Cancelled,Credit Card
AMA-O9118,AMA-C2648,2024-01-13,Books,1,8.34,Shipped,Debit Card
AMA-O14580,AMA-C4767,08/03/2025,Apparel,4,41.35,Pending,Amazon Pay
AMA-O8159,AMA-C8038,2025-07-12,Toys,2,$10.69,Shipped,UPI
AMA-O9434,AMA-C5945,04-Apr-2023,Apparel,4,34.91,Delivered,Amazon Pay
AMA-O12472,AMA-C6985,05/03/2025,Apparel,4,30.19,Pending,UPI
AMA-O12353,AMA-C1730,2023-05-21,Beauty,4,17.21,Delivered,Amazon Pay
AMA-O13040,AMA-C7943,04/04/2023,Apparel,4,$46.04,Delivered,UPI
AMA-O10199,AMA-C5220,02/22/2025,Electronics,4,284.31,Delivered,Amazon Pay
AMA-O14495,AMA-C1260,12-Jul-2025,Home & Kitchen,1,131.9,Delivered,Credit Card
AMA-O11027,AMA-C7374,11/07/2025,Electronics,2,150.69,Returned,Credit Card
AMA-O5677,AMA-C7563,17-Nov-2025,Electronics,3,70.77,Returned,Gift Card
AMA-O12255,AMA-C3031,03/14/2023,Electronics,1,262.03,Delivered,UPI
AMA-O10022,AMA-C7399,12/10/2025,Electronics,1,511.0,Delivered,Credit Card
AMA-O14626,AMA-C5341,03/18/2023,Beauty,1,22.53,Delivered,Debit Card
AMA-O7419,AMA-C1088,19-Aug-2025,Beauty,3,14.01,,Gift Card
AMA-O8854,AMA-C7817,18-Feb-2024,Toys,3,68.8,Pending,UPI
AMA-O12292,AMA-C4766,2024-12-12,Apparel,1,$108.09,Cancelled,UPI
AMA-O9871,AMA-C5342,10/26/2024,Beauty,3,80.56,Shipped,Amazon Pay
AMA-O11993,AMA-C10389,2024-02-05,Books,5,$18.51,Delivered,UPI
AMA-O9308,AMA-C6207,07/05/2024,Sports & Outdoors,2,$153.85,Shipped,Amazon Pay
AMA-O8592,AMA-C5734,15-Feb-2024,Books,1,12.92,Returned,Debit Card
AMA-O8445,AMA-C2442,2023-01-11,Sports & Outdoors,2,142.15,Delivered,Gift Card
AMA-O8172,AMA-C5918,2023-02-16,Grocery,3,9.88,Pending,Gift Card
AMA-O6738,AMA-C1322,2024-05-17,Beauty,1,81.22,Returned,Amazon Pay
AMA-O7851,AMA-C8269,01-Dec-2024,Toys,1,79.41,Delivered,Amazon Pay
AMA-O12972,AMA-C10430,08/15/2025,Electronics,2,$211.17,Returned,Gift Card
AMA-O12513,AMA-C5450,2024-01-21,Books,5,$31.94,Delivered,Credit Card
AMA-O12715,AMA-C3284,10/29/2024,Apparel,4,31.36,Delivered,Credit Card
AMA-O9813,AMA-C10275,2023-12-22,Grocery,4,24.73,Delivered,Credit Card
AMA-O7241,AMA-C2446,19-Jun-2024,Grocery,-5,51.09,Delivered,UPI
AMA-O12765,AMA-C6173,21-Jul-2024,Home & Kitchen,3,$297.91,Delivered,Credit Card
AMA-O13952,AMA-C9501,2025-04-30,Toys,4,80.32,Delivered,Gift Card
AMA-O6402,AMA-C2887,2024-04-16,Apparel,2,$22.43,Delivered,Debit Card
AMA-O14212,AMA-C8707,03/16/2024,Beauty,4,88.91,Delivered,Debit Card
AMA-O10736,AMA-C1365,12/14/2023,Sports & Outdoors,1,40.94,Delivered,Debit Card
AMA-O9604,AMA-C6067,2023-06-24,Toys,5,59.06,Delivered,Amazon Pay
AMA-O7673,AMA-C3492,20-Dec-2024,Home & Kitchen,5,77.22,Returned,UPI
AMA-O13688,AMA-C4133,22-Aug-2025,Beauty,-3,$40.82,Pending,UPI
AMA-O11158,AMA-C9470,2024-03-07,Home & Kitchen,1,$231.76,Shipped,Gift Card
AMA-O8783,AMA-C10151,01/20/2025,Grocery,1,2.47,,Credit Card
AMA-O7960,AMA-C3098,2024-10-04,Beauty,5,33.02,Cancelled,Amazon Pay
AMA-O12419,AMA-C8887,2025-12-21,Home & Kitchen,5,205.69,Shipped,Credit Card
AMA-O8631,AMA-C4606,22-Feb-2024,Toys,3,12.28,Cancelled,UPI
AMA-O8345,AMA-C10758,11/26/2023,Sports & Outdoors,1,$103.08,Delivered,Credit Card
AMA-O13778,AMA-C8902,2024-01-29,Apparel,3,74.81,Pending,Gift Card
AMA-O13558,AMA-C7204,2025-06-28,Grocery,3,16.98,Returned,UPI
AMA-O10815,AMA-C4897,19-Jul-2023,Sports & Outdoors,3,149.41,Delivered,Debit Card
AMA-O10129,AMA-C4016,2025-07-13,Sports & Outdoors,5,114.52,Delivered,Gift Card
AMA-O12015,AMA-C10458,2025-06-05,Apparel,1,90.87,Cancelled,Debit Card
AMA-O12518,AMA-C9315,2023-06-20,Books,3,$39.23,Delivered,UPI
AMA-O11288,AMA-C2818,2024-02-05,Electronics,4,794.65,Returned,Gift Card
AMA-O12274,AMA-C5336,2024-02-03,Sports & Outdoors,4,48.1,Delivered,UPI
AMA-O13473,AMA-C8630,11/04/2023,Books,4,22.23,Delivered,Amazon Pay
AMA-O7580,AMA-C10444,12/08/2024,Apparel,1,81.94,Shipped,Debit Card
AMA-O10504,AMA-C10196,2023-11-19,Toys,5,96.0,Delivered,Amazon Pay
AMA-O12848,AMA-C2266,25-Oct-2023,Home & Kitchen,4,$24.83,Shipped,Debit Card
AMA-O12996,AMA-C4448,08/27/2023,Electronics,3,384.56,Pending,UPI
AMA-O7975,AMA-C3900,11/13/2023,Grocery,4,54.08,Returned,UPI
AMA-O12404,AMA-C9999,25-Aug-2025,Beauty,2,25.83,Delivered,Amazon Pay
AMA-O12962,AMA-C6775,06/03/2024,Apparel,3,47.98,Delivered,Amazon Pay
AMA-O7535,AMA-C7046,2023-04-02,Electronics,5,543.91,Returned,Credit Card
AMA-O14997,AMA-C7010,12/11/2024,Sports & Outdoors,1,27.92,Shipped,UPI
AMA-O10150,AMA-C1216,04-Feb-2023,Grocery,5,$4.93,Shipped,Credit Card
AMA-O13556,AMA-C8020,10/06/2025,Beauty,2,86.96,Delivered,Debit Card
AMA-O14409,AMA-C9253,02-Feb-2024,Beauty,3,$83.80,Delivered,Credit Card
AMA-O6239,AMA-C10182,2024-10-22,Beauty,4,$26.86,Cancelled,Gift Card
AMA-O6710,AMA-C4473,2024-10-01,Electronics,1,$20.27,Delivered,Gift Card
AMA-O13818,AMA-C8917,2023-04-02,Home & Kitchen,4,129.61,Cancelled,Gift Card
AMA-O9060,AMA-C1426,05/17/2023,Toys,5,40.7,Delivered,Amazon Pay
AMA-O6638,AMA-C3291,02-Oct-2024,Apparel,5,46.85,Pending,Gift Card
AMA-O7561,AMA-C3071,2023-07-14,Electronics,2,180.22,Cancelled,UPI
AMA-O5988,AMA-C8243,2024-06-20,Beauty,2,$85.20,Delivered,Amazon Pay
AMA-O6496,AMA-C8306,07/30/2025,Beauty,3,51.44,Pending,Amazon Pay
AMA-O9720,AMA-C3657,22-Jun-2025,Home & Kitchen,-3,122.77,,Gift Card
