revenue_id,order_id,payment_date,amount_paid_usd,payment_status,refund_amount_usd
AMA-R9208,AMA-O12218,03/11/2023,67.96,Paid,0.0
AMA-R17638,AMA-O13766,11/08/2023,17.2,Paid,0.0
AMA-R11181,AMA-O14358,15-Jul-2023,2906.84,Paid,0.0
AMA-R17603,AMA-O14687,2024-05-19,1783.6,Paid,1783.6
AMA-R12959,AMA-O13298,2025-01-29,69.72,Paid,0.0
AMA-R16097,AMA-O10903,06/28/2025,255.72,Paid,0.0
AMA-R9472,AMA-O14065,01/10/2025,,Paid,0.0
AMA-R15950,AMA-O9278,27-Oct-2024,57.78,Paid,0.0
AMA-R12867,AMA-O10975,2023-05-14,85.74,Paid,0.0
AMA-R16820,AMA-O8003,31-Aug-2024,84.0,Paid,0.0
AMA-R13514,AMA-O12429,01/15/2024,113.22,Paid,0.0
AMA-R15216,AMA-O8883,2023-12-27,154.1,Refunded,0.0
AMA-R12891,AMA-O14957,07-Jul-2023,246.9,Paid,0.0
AMA-R15933,AMA-O13849,2024-11-12,3667.55,Paid,0.0
AMA-R11689,AMA-O13433,2024-06-16,168.54,Paid,0.0
AMA-R16492,AMA-O5724,18-Dec-2023,273.25,Paid,0.0
AMA-R15073,AMA-O12511,13-Apr-2024,1247.4,Paid,0.0
AMA-R17239,AMA-O14353,04/20/2025,32.56,Paid,32.56
AMA-R14673,AMA-O12068,2025-07-17,547.89,Refunded,0.0
AMA-R15673,AMA-O12959,2023-07-03,2051.72,Paid,0.0
AMA-R15057,AMA-O12119,11-Aug-2024,42.88,Paid,0.0
AMA-R15685,AMA-O11309,07/01/2024,199.92,Paid,0.0
AMA-R9222,AMA-O10199,02/22/2025,1137.24,Paid,0.0
AMA-R15641,AMA-O14904,02/10/2023,106.47,Paid,0.0
AMA-R14543,AMA-O12140,11-Apr-2025,6.62,Paid,0.0
AMA-R16329,AMA-O9107,09-Aug-2023,287.64,Paid,0.0
AMA-R15664,AMA-O7300,2024-07-11,65.91,Paid,0.0
AMA-R10769,AMA-O8843,20-Jul-2023,442.35,Paid,0.0
AMA-R12191,AMA-O10616,15-Nov-2024,73.83,Refunded,0.0
AMA-R14718,AMA-O8423,30-Jul-2025,382.6,Paid,382.6
AMA-R11262,AMA-O14403,01-Jul-2024,2836.08,Paid,0.0
AMA-R16294,AMA-O12725,2024-03-15,89.28,Paid,89.28
AMA-R13761,AMA-O6274,03/23/2024,25.64,Paid,0.0
AMA-R15247,AMA-O6525,06-Jul-2025,150.81,Paid,0.0
AMA-R18595,AMA-O12521,2024-02-14,31.17,Refunded,0.0
AMA-R13244,AMA-O12221,08-Nov-2024,26.93,Paid,26.93
AMA-R12373,AMA-O7490,2023-10-23,326.8,Paid,0.0
AMA-R10203,AMA-O8527,09/12/2025,109.0,Paid,109.0
AMA-R14207,AMA-O8131,2024-10-09,923.16,Paid,0.0
AMA-R16727,AMA-O6125,30-Sep-2025,215.55,Paid,0.0
AMA-R15426,AMA-O5723,01/18/2023,275.96,Paid,275.96
AMA-R14795,AMA-O6703,21-Feb-2023,300.88,Paid,0.0
AMA-R14366,AMA-O7538,01/09/2023,180.95,Paid,0.0
AMA-R17070,AMA-O13946,02/18/2024,41.36,Paid,0.0
AMA-R15498,AMA-O8087,16-Oct-2023,890.28,Paid,0.0
AMA-R14814,AMA-O14354,05/01/2023,38.62,Paid,0.0
AMA-R11912,AMA-O10136,2023-03-16,128.78,Paid,0.0
AMA-R9731,AMA-O14903,10/31/2023,78.56,Paid,78.56
AMA-R13830,AMA-O8509,08/03/2023,283.1,Paid,0.0
AMA-R14030,AMA-O11166,06-Sep-2025,30.76,Refunded,0.0
AMA-R12225,AMA-O11985,2025-12-30,49.6,Paid,0.0
AMA-R12170,AMA-O7764,06-Nov-2023,,Paid,0.0
AMA-R9420,AMA-O13495,2024-01-20,354.39,Paid,0.0
AMA-R13337,AMA-O13845,2024-02-15,226.65,Paid,226.65
AMA-R9155,AMA-O14204,12-Apr-2023,76.18,Paid,0.0
AMA-R14905,AMA-O11376,2024-06-07,793.59,Refunded,0.0
AMA-R10527,AMA-O6793,2024-08-13,209.76,Paid,0.0
AMA-R10974,AMA-O8391,2024-10-09,223.97,Paid,0.0
AMA-R14886,AMA-O8147,06-Jul-2024,106.08,Paid,0.0
AMA-R17559,AMA-O10481,23-Jul-2023,42.98,Paid,0.0
AMA-R17851,AMA-O11418,12/25/2024,34.64,Paid,0.0
AMA-R15163,AMA-O13962,12/08/2025,66.36,Paid,0.0
AMA-R12792,AMA-O11355,08/31/2024,355.0,Paid,0.0
AMA-R15183,AMA-O5469,08/18/2023,19.47,Paid,0.0
AMA-R10144,AMA-O13156,2023-08-06,1080.35,Paid,0.0
AMA-R9084,AMA-O9870,18-Oct-2025,12.5,Paid,0.0
AMA-R10950,AMA-O12752,2023-04-20,208.28,Paid,0.0
AMA-R9235,AMA-O8445,2023-01-11,284.3,Paid,0.0
AMA-R9777,AMA-O14905,2023-10-04,161.48,Paid,161.48
AMA-R13238,AMA-O9241,06/29/2024,265.6,Paid,0.0
AMA-R10751,AMA-O12436,22-Mar-2024,25.78,Paid,0.0
AMA-R17881,AMA-O11433,22-May-2023,135.92,Refunded,31.98
AMA-R9991,AMA-O5244,11/04/2023,,Paid,1823.19
AMA-R15562,AMA-O6220,12-Feb-2024,27.15,Paid,0.0
AMA-R14860,AMA-O6006,10/01/2023,436.2,Paid,0.0
AMA-R9020,AMA-O9313,2024-08-11,208.13,Paid,0.0
AMA-R15332,AMA-O9232,03/20/2024,769.85,Paid,0.0
AMA-R15352,AMA-O7444,2023-11-07,112.89,Paid,112.89
AMA-R17255,AMA-O6408,2023-09-11,216.89,Paid,216.89
AMA-R14011,AMA-O10936,20-Aug-2024,274.57,Paid,0.0
AMA-R15488,AMA-O5232,2023-04-02,125.19,Paid,125.19
AMA-R15520,AMA-O13322,01-Jun-2023,20.77,Paid,0.0
AMA-R14413,AMA-O12360,20-Aug-2025,18.04,Paid,0.0
AMA-R10884,AMA-O6607,2024-11-28,76.17,Paid,0.0
AMA-R15041,AMA-O5366,12/10/2023,108.96,Paid,0.0
AMA-R13201,AMA-O8118,2024-07-15,32.84,Paid,32.84
AMA-R17895,AMA-O5893,12/29/2025,956.92,Paid,0.0
AMA-R18528,AMA-O7375,02-Apr-2023,142.68,Paid,0.0
AMA-R9618,AMA-O5053,02/26/2023,102.69,Paid,0.0
AMA-R12473,AMA-O14130,2024-05-24,31.2,Paid,0.0
AMA-R13483,AMA-O10276,23-Jun-2024,18.27,Paid,18.27
AMA-R16841,AMA-O7650,2025-03-27,302.64,Paid,0.0
AMA-R12112,AMA-O8013,05-Dec-2024,907.16,Paid,0.0
AMA-R11609,AMA-O7600,24-Oct-2025,55.01,Paid,0.0
AMA-R11538,AMA-O13417,02/13/2024,268.0,Paid,268.0
AMA-R17794,AMA-O12153,2025-08-09,48.71,Paid,0.0
AMA-R11968,AMA-O5286,2024-02-17,446.1,Paid,0.0
AMA-R15004,AMA-O14695,01/08/2025,29.88,Refunded,0.0
AMA-R14538,AMA-O12121,13-Nov-2023,247.75,Paid,0.0
AMA-R9833,AMA-O7227,11-Nov-2025,133.72,Paid,0.0
AMA-R11130,AMA-O11454,2023-08-25,386.3,Refunded,0.0
AMA-R16283,AMA-O14176,26-Oct-2025,2285.94,Paid,0.0
AMA-R12521,AMA-O10238,11/30/2025,553.7,Paid,0.0
AMA-R14678,AMA-O6271,2023-12-14,166.38,Paid,0.0
AMA-R11134,AMA-O14472,2023-04-07,46.28,Paid,0.0
AMA-R17628,AMA-O13276,08/18/2024,75.51,Refunded,0.0
AMA-R10446,AMA-O6116,23-Dec-2025,313.9,Paid,313.9
AMA-R17768,AMA-O5279,2025-05-30,202.3,Paid,0.0
AMA-R16743,AMA-O9502,07-Mar-2025,,Paid,0.0
AMA-R11591,AMA-O8024,07-Mar-2025,,Paid,0.0
AMA-R9131,AMA-O13234,08/07/2025,28.02,Paid,0.0
AMA-R18364,AMA-O7880,04/05/2024,43.8,Paid,0.0
AMA-R11349,AMA-O13607,2023-07-04,797.7,Paid,0.0
AMA-R13758,AMA-O13217,26-Jul-2023,12.78,Paid,0.0
AMA-R17308,AMA-O5772,02/02/2023,,Paid,0.0
AMA-R18450,AMA-O12130,03/12/2023,75.48,Pending,0.0
AMA-R16941,AMA-O11116,11/05/2024,54.85,Paid,0.0
AMA-R13383,AMA-O12680,2023-04-01,64.84,Paid,0.0
AMA-R10920,AMA-O14605,31-Mar-2023,1104.03,Refunded,0.0
AMA-R16748,AMA-O6591,09-Nov-2023,158.55,Paid,0.0
AMA-R11726,AMA-O14654,09/18/2025,119.55,Paid,0.0
AMA-R13746,AMA-O9286,2023-05-06,779.68,Refunded,0.0
AMA-R11587,AMA-O9247,2025-10-04,188.08,Paid,0.0
AMA-R13210,AMA-O12078,03-Jun-2024,367.2,Paid,0.0
AMA-R14845,AMA-O14282,2023-08-17,10.22,Paid,0.0
AMA-R10517,AMA-O6028,12-Aug-2023,113.36,Paid,0.0
AMA-R16849,AMA-O13616,2024-01-17,314.56,Paid,0.0
AMA-R12785,AMA-O5179,2025-02-22,285.32,Pending,0.0
AMA-R17782,AMA-O8693,2025-10-02,306.48,Paid,0.0
AMA-R16287,AMA-O12995,11/18/2023,25.37,Pending,0.0
AMA-R9600,AMA-O9689,27-Dec-2024,100.19,Paid,0.0
AMA-R11851,AMA-O11527,17-Dec-2023,3.6,Paid,0.0
AMA-R13003,AMA-O8941,01/25/2024,99.03,Paid,0.0
AMA-R9226,AMA-O12255,03/14/2023,262.03,Paid,0.0
AMA-R12432,AMA-O9488,21-Oct-2025,57.0,Pending,15.25
AMA-R12096,AMA-O11413,19-Apr-2023,165.54,Paid,0.0
AMA-R17959,AMA-O7447,11/25/2023,781.89,Paid,781.89
AMA-R10809,AMA-O11864,05-May-2025,345.2,Refunded,0.0
AMA-R9522,AMA-O10628,08/17/2023,20.07,Refunded,0.0
AMA-R11316,AMA-O5833,10/31/2024,119.94,Refunded,0.0
AMA-R15335,AMA-O6426,04/01/2023,75.7,Paid,0.0
AMA-R12695,AMA-O7049,12/31/2024,9.07,Paid,0.0
AMA-R9077,AMA-O6900,2023-05-09,76.66,Paid,0.0
AMA-R18020,AMA-O10586,08-May-2023,416.2,Pending,0.0
AMA-R15615,AMA-O11156,07/25/2023,217.5,Refunded,0.0
AMA-R17197,AMA-O11178,30-Dec-2024,36.84,Paid,0.0
AMA-R9498,AMA-O7213,2024-07-18,53.0,Paid,0.0
AMA-R11174,AMA-O13083,2023-09-27,76.08,Refunded,0.0
AMA-R10853,AMA-O5182,06/03/2025,467.95,Paid,0.0
AMA-R11743,AMA-O9778,28-Dec-2023,145.16,Paid,0.0
AMA-R10082,AMA-O7730,2025-12-23,276.38,Paid,90.49
AMA-R13640,AMA-O9571,06/18/2023,225.6,Paid,0.0
AMA-R14112,AMA-O14610,2023-01-29,47.28,Paid,0.0
AMA-R15109,AMA-O9798,2024-06-03,1075.85,Paid,0.0
AMA-R17936,AMA-O8734,2025-02-20,411.1,Paid,411.1
AMA-R12858,AMA-O7402,08/20/2025,1050.48,Paid,0.0
AMA-R9300,AMA-O11206,10/05/2024,315.6,Paid,0.0
AMA-R15707,AMA-O14056,2024-08-05,86.14,Paid,0.0
AMA-R16331,AMA-O5128,02/23/2024,716.01,Paid,0.0
AMA-R9666,AMA-O5591,2025-10-11,1568.08,Paid,1568.08
AMA-R16588,AMA-O13983,01-Apr-2023,1554.6,Refunded,0.0
AMA-R16502,AMA-O5008,04/17/2023,167.07,Paid,0.0
AMA-R11702,AMA-O7210,07/18/2023,471.16,Pending,0.0
AMA-R15866,AMA-O9465,2023-05-30,235.6,Paid,0.0
AMA-R10043,AMA-O5929,08/27/2024,284.68,Paid,0.0
AMA-R12488,AMA-O7255,17-Sep-2024,70.95,Refunded,0.0
AMA-R17363,AMA-O10967,12/15/2023,44.42,Paid,44.42
AMA-R10784,AMA-O6330,03/19/2025,142.68,Paid,0.0
AMA-R17302,AMA-O8887,09/21/2023,81.8,Paid,81.8
AMA-R14993,AMA-O7053,11/10/2024,285.12,Paid,285.12
AMA-R9032,AMA-O10544,2024-01-06,170.15,Refunded,0.0
AMA-R17224,AMA-O13902,12/06/2025,596.1,Refunded,0.0
AMA-R15150,AMA-O11320,14-Jan-2024,1028.8,Paid,0.0
AMA-R14934,AMA-O13127,18-Oct-2024,161.5,Paid,161.5
AMA-R9597,AMA-O13930,2023-02-21,625.48,Paid,0.0
AMA-R13323,AMA-O7915,2024-11-12,156.4,Pending,37.24
AMA-R16943,AMA-O8188,2024-06-26,368.42,Paid,0.0
AMA-R16318,AMA-O8962,07/12/2024,521.4,Paid,0.0
AMA-R9734,AMA-O7238,03-Sep-2025,45.0,Pending,0.0
AMA-R18579,AMA-O5371,07/09/2025,1990.36,Paid,1990.36
AMA-R16876,AMA-O11793,04/24/2025,65.75,Paid,0.0
AMA-R17804,AMA-O5829,05/13/2025,203.07,Paid,0.0
AMA-R13913,AMA-O13261,12/23/2023,,Paid,0.0
AMA-R13328,AMA-O5054,2025-12-24,398.84,Paid,0.0
AMA-R17654,AMA-O9029,29-Apr-2024,173.12,Refunded,0.0
AMA-R13410,AMA-O6665,05-Jun-2024,5.71,Paid,0.0
AMA-R17697,AMA-O10666,25-Jan-2024,94.18,Paid,0.0
AMA-R17580,AMA-O13457,11-May-2024,,Paid,0.0
AMA-R17856,AMA-O5747,08/18/2023,70.04,Paid,0.0
AMA-R15876,AMA-O9706,2024-02-09,,Pending,0.0
AMA-R10386,AMA-O7970,16-Feb-2024,29.49,Pending,0.0
AMA-R13382,AMA-O10096,2024-07-08,235.83,Paid,0.0
AMA-R13205,AMA-O10738,27-May-2025,,Paid,0.0
AMA-R11599,AMA-O7031,03/09/2025,854.2,Paid,0.0
AMA-R14598,AMA-O14992,03/26/2023,19.12,Paid,0.0
AMA-R13345,AMA-O12247,04/21/2023,11.83,Paid,0.0
AMA-R17013,AMA-O14875,2023-05-18,581.6,Paid,0.0
AMA-R11653,AMA-O11100,2023-09-28,174.58,Paid,0.0
AMA-R16044,AMA-O6288,16-Sep-2025,78.96,Paid,0.0
AMA-R16422,AMA-O14170,02/19/2024,247.54,Pending,0.0
AMA-R10520,AMA-O6602,02-Jul-2025,947.45,Paid,0.0
AMA-R18589,AMA-O10178,2023-05-08,40.3,Paid,0.0
AMA-R12468,AMA-O10121,2024-01-19,373.08,Pending,0.0
AMA-R9532,AMA-O14010,01/07/2024,71.4,Paid,0.0
AMA-R16327,AMA-O13486,09-Jan-2024,1311.25,Paid,0.0
AMA-R14327,AMA-O12478,05/03/2024,57.95,Paid,0.0
AMA-R9142,AMA-O6032,2025-02-06,25.95,Paid,0.0
AMA-R13168,AMA-O6153,21-Apr-2025,63.55,Paid,0.0
AMA-R18578,AMA-O11592,04/29/2024,1449.8,Paid,0.0
AMA-R15405,AMA-O11849,2024-03-14,126.33,Paid,126.33
AMA-R16267,AMA-O13947,2023-03-07,209.08,Paid,0.0
AMA-R11203,AMA-O13215,08/03/2023,104.3,Paid,0.0
AMA-R16068,AMA-O6875,13-Oct-2024,645.9,Paid,0.0
AMA-R12714,AMA-O8684,2024-04-14,,Paid,33.66
AMA-R12213,AMA-O13421,04-Mar-2025,31.27,Paid,0.0
AMA-R15919,AMA-O5156,20-Jan-2023,477.4,Paid,0.0
AMA-R14855,AMA-O8905,06/04/2024,126.09,Paid,126.09
AMA-R18079,AMA-O14447,08/19/2023,111.95,Paid,0.0
AMA-R11910,AMA-O5641,09/19/2025,105.4,Paid,0.0
AMA-R12080,AMA-O5607,12/21/2024,97.14,Paid,0.0
AMA-R14439,AMA-O14961,24-Feb-2024,821.26,Paid,821.26
AMA-R14183,AMA-O9055,12/12/2025,72.86,Pending,0.0
AMA-R13326,AMA-O9565,09-Mar-2024,367.6,Paid,0.0
AMA-R15002,AMA-O7380,11/21/2024,185.16,Paid,0.0
AMA-R11430,AMA-O11198,10/28/2024,150.26,Paid,0.0
AMA-R11993,AMA-O8524,07/29/2023,425.7,Paid,0.0
AMA-R17835,AMA-O6869,01/17/2023,352.72,Pending,0.0
AMA-R14638,AMA-O11025,06-Aug-2023,217.16,Paid,217.16
AMA-R16404,AMA-O8512,12/31/2024,285.76,Pending,0.0
AMA-R14384,AMA-O10711,01/09/2024,263.96,Paid,0.0
AMA-R11287,AMA-O10887,26-Jul-2023,992.05,Paid,0.0
AMA-R13110,AMA-O12177,25-May-2024,794.67,Pending,0.0
AMA-R12104,AMA-O5812,08/05/2024,71.0,Paid,71.0
AMA-R11026,AMA-O7943,2023-03-06,337.5,Paid,0.0
AMA-R11492,AMA-O5306,20-Oct-2023,32.46,Pending,0.0
AMA-R16842,AMA-O6124,10-Oct-2024,31.38,Refunded,0.0
AMA-R18446,AMA-O5753,2024-08-10,332.84,Paid,0.0
AMA-R13155,AMA-O11911,26-Jun-2024,70.98,Refunded,0.0
AMA-R12245,AMA-O9585,17-Feb-2024,67.14,Refunded,0.0
AMA-R12682,AMA-O6427,23-Dec-2023,1179.15,Paid,0.0
AMA-R13136,AMA-O13879,2024-12-17,147.39,Paid,0.0
AMA-R16700,AMA-O7504,10-Aug-2025,129.1,Paid,0.0
AMA-R9146,AMA-O9293,09/25/2025,172.22,Paid,0.0
AMA-R16416,AMA-O12250,09/27/2023,,Paid,0.0
AMA-R17201,AMA-O14767,01-Apr-2023,37.92,Paid,0.0
AMA-R14412,AMA-O14883,12/21/2023,16.31,Paid,0.0
AMA-R12258,AMA-O6302,11-Apr-2025,448.6,Paid,0.0
AMA-R17843,AMA-O9560,2023-08-03,33.92,Paid,0.0
AMA-R13338,AMA-O6515,11/10/2024,88.8,Paid,0.0
AMA-R11253,AMA-O5024,2025-05-28,48.35,Refunded,0.0
AMA-R14828,AMA-O8100,2025-08-09,1395.21,Paid,0.0
AMA-R14006,AMA-O14436,04-May-2023,13.3,Paid,0.0
AMA-R9693,AMA-O7460,2023-01-02,153.12,Paid,153.12
AMA-R13656,AMA-O11123,03/27/2024,88.25,Refunded,0.0
AMA-R11216,AMA-O9872,15-Jul-2023,58.12,Paid,0.0
AMA-R18306,AMA-O13134,06/02/2023,292.35,Paid,0.0
AMA-R11852,AMA-O11512,11/29/2024,1101.0,Paid,0.0
AMA-R9696,AMA-O9914,15-Oct-2023,2059.15,Paid,0.0
AMA-R11670,AMA-O12315,18-May-2024,41.52,Paid,41.52
AMA-R12339,AMA-O7842,12/12/2023,109.02,Paid,0.0
AMA-R17392,AMA-O7270,09/05/2024,454.8,Refunded,0.0
AMA-R9621,AMA-O13004,2024-12-29,435.16,Paid,435.16
AMA-R11658,AMA-O13572,07/15/2023,114.6,Pending,0.0
AMA-R15249,AMA-O14460,2025-03-15,206.84,Refunded,0.0
AMA-R17866,AMA-O10468,2024-10-22,384.64,Paid,0.0
AMA-R9638,AMA-O14334,03/29/2024,92.9,Refunded,0.0
AMA-R12115,AMA-O12066,09/06/2024,311.37,Paid,0.0
AMA-R14711,AMA-O11149,04/06/2023,56.05,Paid,56.05
AMA-R9903,AMA-O7174,2024-09-23,142.87,Paid,0.0
AMA-R9874,AMA-O13017,15-Aug-2024,265.1,Paid,0.0
AMA-R11344,AMA-O10521,05/23/2025,29.96,Paid,0.0
AMA-R16674,AMA-O8145,28-Jan-2025,,Refunded,0.0
AMA-R10227,AMA-O6342,2023-07-28,22.17,Paid,8.15
AMA-R17166,AMA-O6761,21-Mar-2023,27.52,Paid,0.0
AMA-R10841,AMA-O8695,2025-06-21,81.35,Pending,0.0
AMA-R17338,AMA-O10093,07/30/2025,134.3,Paid,0.0
AMA-R15353,AMA-O8997,24-Sep-2023,210.1,Paid,0.0
AMA-R11804,AMA-O5580,12/17/2024,92.46,Paid,0.0
AMA-R16148,AMA-O7616,2024-08-17,,Refunded,0.0
AMA-R17285,AMA-O5253,2024-03-08,211.28,Pending,0.0
AMA-R13261,AMA-O14679,02/16/2025,127.6,Paid,18.3
AMA-R15038,AMA-O11185,03/24/2024,64.74,Paid,0.0
AMA-R13611,AMA-O9364,22-May-2025,77.65,Pending,0.0
AMA-R16085,AMA-O12781,07/28/2024,42.4,Paid,0.0
AMA-R14498,AMA-O14974,2023-12-19,,Refunded,0.0
AMA-R9033,AMA-O12631,05/08/2024,91.52,Paid,91.52
AMA-R9754,AMA-O12027,10/28/2023,331.52,Pending,0.0
AMA-R10710,AMA-O11690,2023-02-13,738.27,Paid,0.0
AMA-R15281,AMA-O6991,05/25/2024,89.88,Paid,0.0
AMA-R15465,AMA-O11236,08/24/2023,19.44,Pending,0.0
AMA-R18475,AMA-O8543,09/29/2024,,Paid,0.0
AMA-R14162,AMA-O10471,25-Mar-2023,53.75,Pending,0.0
AMA-R14160,AMA-O11994,2024-10-07,250.41,Pending,0.0
AMA-R16971,AMA-O12526,05/17/2023,73.44,Paid,0.0
AMA-R15112,AMA-O10333,12/21/2023,445.74,Refunded,0.0
AMA-R12067,AMA-O5776,2024-03-08,278.04,Paid,0.0
AMA-R10942,AMA-O6195,16-Sep-2025,148.68,Pending,0.0
AMA-R17397,AMA-O13729,2025-05-28,376.55,Paid,0.0
AMA-R13284,AMA-O7705,2023-03-26,43.58,Paid,17.23
AMA-R13097,AMA-O10443,20-Feb-2023,175.16,Paid,0.0
AMA-R10488,AMA-O5962,2025-12-21,705.87,Paid,0.0
AMA-R11332,AMA-O7865,27-Sep-2025,107.19,Paid,0.0
AMA-R11175,AMA-O8855,2024-05-31,89.16,Paid,0.0
AMA-R16164,AMA-O7581,23-Nov-2023,339.76,Pending,0.0
AMA-R13957,AMA-O12361,02/23/2023,,Paid,0.0
AMA-R16577,AMA-O12679,2023-02-21,16.6,Refunded,0.0
AMA-R12679,AMA-O8550,13-Dec-2023,98.73,Paid,0.0
AMA-R14593,AMA-O5828,03/28/2024,125.92,Refunded,0.0
AMA-R17643,AMA-O12149,2024-04-27,205.4,Pending,0.0
AMA-R11927,AMA-O13437,2023-01-27,,Paid,0.0
AMA-R13816,AMA-O9509,19-Jul-2023,45.88,Pending,0.0
AMA-R18328,AMA-O5536,2025-01-07,12.08,Paid,0.0
AMA-R16987,AMA-O11221,08/02/2024,93.16,Paid,93.16
AMA-R11842,AMA-O5525,05/02/2023,104.15,Paid,104.15
AMA-R10129,AMA-O12871,2023-08-29,205.28,Paid,0.0
AMA-R12589,AMA-O11184,23-Mar-2024,100.0,Paid,0.0
AMA-R17941,AMA-O13557,10-Aug-2024,322.68,Paid,322.68
AMA-R10373,AMA-O8052,2023-06-23,1206.7,Paid,0.0
AMA-R14896,AMA-O13444,2023-11-17,7.18,Refunded,0.0
AMA-R12045,AMA-O7669,27-Feb-2023,218.06,Paid,0.0
AMA-R17653,AMA-O5502,05/02/2024,6.54,Paid,0.0
AMA-R10055,AMA-O14646,09/21/2025,104.64,Paid,0.0
AMA-R11683,AMA-O10381,02/26/2023,88.25,Paid,0.0
AMA-R12012,AMA-O5655,01/23/2024,175.96,Paid,0.0
AMA-R16578,AMA-O9035,2025-07-20,461.32,Paid,0.0
AMA-R16333,AMA-O10092,07/18/2025,999.33,Paid,0.0
AMA-R13384,AMA-O9969,25-Aug-2023,27.22,Paid,0.0
AMA-R18522,AMA-O12664,2025-08-25,553.75,Paid,0.0
AMA-R12630,AMA-O6066,28-Oct-2024,78.18,Paid,0.0
AMA-R17765,AMA-O12903,13-Apr-2025,1172.76,Paid,0.0
AMA-R11704,AMA-O10259,31-May-2024,383.46,Paid,0.0
AMA-R9026,AMA-O12993,10/10/2023,1845.04,Paid,1845.04
AMA-R9794,AMA-O5154,2023-05-10,380.13,Refunded,0.0
AMA-R13975,AMA-O11584,29-Mar-2025,87.6,Pending,0.0
AMA-R12294,AMA-O12557,07/25/2025,37.26,Paid,0.0
AMA-R12322,AMA-O14539,06-Sep-2024,243.96,Paid,0.0
AMA-R10759,AMA-O5289,01-Oct-2025,136.03,Paid,0.0
AMA-R15571,AMA-O11653,2025-05-22,42.21,Paid,0.0
AMA-R17092,AMA-O7546,16-Jun-2025,1075.96,Paid,0.0
AMA-R15955,AMA-O9289,2023-10-13,94.68,Paid,0.0
AMA-R15180,AMA-O11373,14-Jun-2024,160.76,Refunded,0.0
